Instance, Genetic Algorithm solution, time
1,1,0.270806
2,2,0.286964
3,2,0.287344
4,3,0.323916
5,2,0.291942
6,2,0.292599
7,2,0.372521
8,2,0.384689
9,4,0.476064
10,2,0.409007
11,2,0.40389
12,2,0.400305
13,2,0.548315
14,3,0.583914
15,4,0.621757
16,3,0.554859
17,3,0.586399
18,3,0.571319
19,1,0.25972
20,1,0.257621
21,2,0.617106
22,5,0.759078
23,4,0.698847
24,3,0.67436
25,4,0.721424
26,3,0.672111
27,3,0.795448
28,5,0.883848
29,4,0.876953
30,5,0.961633
31,4,0.894648
32,3,0.82306
33,4,1.27158
34,6,1.39947
35,6,1.39961
36,4,1.22808
37,4,1.19165
38,6,1.43166
39,2,0.610236
40,3,1.07573
41,5,1.40932
42,6,1.47602
43,6,1.50145
44,5,1.41468
45,5,1.38254
46,7,1.61146
47,8,2.78117
48,8,2.81533
49,9,2.91886
50,8,2.7741
51,8,2.77133
52,7,2.62537
53,10,4.25891
54,10,4.52691
55,11,4.54127
56,11,4.44371
57,13,4.9745
58,16,5.50781
59,4,1.70282
60,5,2.46325
61,14,7.53751
62,12,7.02837
63,14,7.4515
64,16,7.97463
65,20,9.26314
66,13,7.34253,
67,15,10.8519
68,18,11.2078
69,17,12.2558
70,24,14.4284
71,18,12.0783
72,22,12.9897
73,19,16.164
74,19,15.1499
75,26,18.5804
76,22,17.3079
77,26,18.7398
78,21,16.8285
79,7,4.25537
80,9,6.74272
81,23,26.6379
82,29,29.1543
83,33,32.841
84,34,31.4787
85,24,25.3688
86,26,27.019
87,27,28.6668
88,25,26.6287
89,29,29.0104
90,26,26.1058
91,48,145.192
92,49,144.866
93,49,150.016
94,50,147.861
95,48,141.108
96,49,142.442
97,50,147.887
98,51,152.086
99,20,28.8798
100,30,74.9948
101,37,71.6058
102,47,78.9951
103,44,75.5286
104,38,65.0805
105,35,63.133
106,44,71.0611
107,38,69.3908
108,49,74.4179
109,38,67.6646
110,42,69.3862
111,50,118.838
112,67,137.304
113,48,113.737
114,51,117.063
115,53,116.252
116,60,129.823
117,50,118.196
118,56,125.548
119,56,121.516
120,50,113.869
