instance, First-Fit solution
1, 1
2, 2
3, 2
4, 3
5, 2
6, 2
7, 2
8, 2
9, 4
10, 2
11, 2
12, 2
13, 2
14, 3
15, 4
16, 3
17, 3
18, 3
19, 1
20, 1
21, 2
22, 5
23, 4
24, 3
25, 4
26, 3
27, 3
28, 5
29, 4
30, 5
31, 4
32, 3
33, 4
34, 6
35, 6
36, 4
37, 4
38, 6
39, 2
40, 3
41, 5
42, 6
43, 6
44, 5
45, 5
46, 7
47, 8
48, 8
49, 9
50, 8
51, 8
52, 7
53, 10
54, 10
55, 11
56, 11
57, 13
58, 16
59, 4
60, 5
61, 14
62, 12
63, 14
64, 16
65, 20
66, 13
67, 15
68, 18
69, 17
70, 24
71, 18
72, 22
73, 19
74, 19
75, 26
76, 22
77, 26
78, 21
79, 7
80, 9
81, 23
82, 29
83, 33
84, 34
85, 24
86, 26
87, 27
88, 25
89, 29
90, 26
91, 50
92, 51
93, 52
94, 52
95, 52
96, 51
97, 52
98, 54
99, 20
100, 30
