instance, ILP time
1,0.012093
2,0.014447
3,0.01488
4,0.012026
5,0.013787
6,0.014038
7,0.015563
8,0.013263
9,0.012101
10,0.01569
11,0.014016
12,0.014028
13,0.015389
14,0.015372
15,0.014488
16,0.015524
17,0.016164
18,0.01594
19,0.011718
20,0.011544
21,0.015798
22,0.015637
23,0.016571
24,0.016797
25,0.016055
26,0.015661
27,0.017883
28,0.016612
29,0.016502
30,0.016471
31,0.018045
32,0.017174
33,0.018618
34,0.019083
35,0.020078
36,0.018462
37,0.019128
38,0.018461
39,0.015787
40,0.018283
41,0.020449
42,0.02032
43,0.020509
44,0.019362
45,0.020637
46,0.018762
47,3.13992
48,0.028264
49,0.030177
50,0.026448
51,0.029961
52,0.030055
53,2.98711
54,0.041039,
55,4.05353
56,2.57022
57,3.26749
58,5.53398
59,0.022228
60,0.026632
61,19.3741
62,0.057136
63,3.05849
64,6.28345
65,3.4828
66,0.051877
67,0.088139
68,21.7754
69,0.076474
70,8.38895
71,5.28544
72,6.81859
73,10.3777
74,5.93259
75,12.4996
76,8.14196
77,14.8946
78,11646.3
79,0.041216
80,0.052427
81,0.153933
82,16.4012
83,58.1266
84,30.5757
85,10.7632
86,27.5842
87,28.2385
88,13.0221
89,15.9683
90,11760
91,816.625
92,66.1056
93,980.976
94,785.932
95,850.857
96,2589.36
97,731.671
98,12273.6
99,0.19932
100,0.476098
